2019-07-21 15:14:28 startup archives install
2019-07-21 15:14:28 install base-passwd:armhf <none> 3.5.46
2019-07-21 15:14:28 status half-installed base-passwd:armhf 3.5.46
2019-07-21 15:14:28 status unpacked base-passwd:armhf 3.5.46
2019-07-21 15:14:28 configure base-passwd:armhf 3.5.46 3.5.46
2019-07-21 15:14:28 status half-configured base-passwd:armhf 3.5.46
2019-07-21 15:14:29 status installed base-passwd:armhf 3.5.46
2019-07-21 15:14:29 startup archives install
2019-07-21 15:14:29 install base-files:armhf <none> 10.3
2019-07-21 15:14:29 status half-installed base-files:armhf 10.3
2019-07-21 15:14:30 status unpacked base-files:armhf 10.3
2019-07-21 15:14:30 configure base-files:armhf 10.3 10.3
2019-07-21 15:14:30 status half-configured base-files:armhf 10.3
2019-07-21 15:14:31 status installed base-files:armhf 10.3
2019-07-21 15:14:31 startup archives install
2019-07-21 15:14:31 upgrade dpkg 1.19.7 1.19.7
2019-07-21 15:14:31 status half-configured dpkg 1.19.7
2019-07-21 15:14:31 status unpacked dpkg 1.19.7
2019-07-21 15:14:31 status half-installed dpkg 1.19.7
2019-07-21 15:14:32 status unpacked dpkg:armhf 1.19.7
2019-07-21 15:14:32 configure dpkg:armhf 1.19.7 1.19.7
2019-07-21 15:14:32 status half-configured dpkg:armhf 1.19.7
2019-07-21 15:14:32 status installed dpkg:armhf 1.19.7
2019-07-21 15:14:32 startup archives install
2019-07-21 15:14:32 install libc6:armhf <none> 2.28-10
2019-07-21 15:14:32 status half-installed libc6:armhf 2.28-10
2019-07-21 15:14:34 status unpacked libc6:armhf 2.28-10
2019-07-21 15:14:34 configure libc6:armhf 2.28-10 2.28-10
2019-07-21 15:14:34 status half-configured libc6:armhf 2.28-10
2019-07-21 15:14:35 status installed libc6:armhf 2.28-10
2019-07-21 15:14:36 startup archives install
2019-07-21 15:14:36 install perl-base:armhf <none> 5.28.1-6
2019-07-21 15:14:36 status half-installed perl-base:armhf 5.28.1-6
2019-07-21 15:14:36 status unpacked perl-base:armhf 5.28.1-6
2019-07-21 15:14:36 configure perl-base:armhf 5.28.1-6 5.28.1-6
2019-07-21 15:14:36 status half-configured perl-base:armhf 5.28.1-6
2019-07-21 15:14:36 status installed perl-base:armhf 5.28.1-6
2019-07-21 15:14:37 startup archives install
2019-07-21 15:14:37 install mawk:armhf <none> 1.3.3-17+b3
2019-07-21 15:14:37 status half-installed mawk:armhf 1.3.3-17+b3
2019-07-21 15:14:37 status unpacked mawk:armhf 1.3.3-17+b3
2019-07-21 15:14:37 configure mawk:armhf 1.3.3-17+b3 1.3.3-17+b3
2019-07-21 15:14:37 status half-configured mawk:armhf 1.3.3-17+b3
2019-07-21 15:14:37 status installed mawk:armhf 1.3.3-17+b3
2019-07-21 15:14:37 startup archives install
2019-07-21 15:14:37 install debconf:all <none> 1.5.71
2019-07-21 15:14:37 status half-installed debconf:all 1.5.71
2019-07-21 15:14:37 status unpacked debconf:all 1.5.71
2019-07-21 15:14:37 configure debconf:all 1.5.71 1.5.71
2019-07-21 15:14:37 status half-configured debconf:all 1.5.71
2019-07-21 15:14:38 status installed debconf:all 1.5.71
2019-07-21 15:14:39 startup archives unpack
2019-07-21 15:14:39 install libacl1:armhf <none> 2.2.53-4
2019-07-21 15:14:39 status half-installed libacl1:armhf 2.2.53-4
2019-07-21 15:14:39 status unpacked libacl1:armhf 2.2.53-4
2019-07-21 15:14:39 install adduser:all <none> 3.118
2019-07-21 15:14:39 status half-installed adduser:all 3.118
2019-07-21 15:14:39 status unpacked adduser:all 3.118
2019-07-21 15:14:40 install apt:armhf <none> 1.8.2
2019-07-21 15:14:40 status half-installed apt:armhf 1.8.2
2019-07-21 15:14:40 status unpacked apt:armhf 1.8.2
2019-07-21 15:14:40 install libapt-pkg5.0:armhf <none> 1.8.2
2019-07-21 15:14:40 status half-installed libapt-pkg5.0:armhf 1.8.2
2019-07-21 15:14:41 status unpacked libapt-pkg5.0:armhf 1.8.2
2019-07-21 15:14:41 install libattr1:armhf <none> 1:2.4.48-4
2019-07-21 15:14:41 status half-installed libattr1:armhf 1:2.4.48-4
2019-07-21 15:14:41 status unpacked libattr1:armhf 1:2.4.48-4
2019-07-21 15:14:41 install libaudit-common:all <none> 1:2.8.4-3
2019-07-21 15:14:41 status half-installed libaudit-common:all 1:2.8.4-3
2019-07-21 15:14:41 status unpacked libaudit-common:all 1:2.8.4-3
2019-07-21 15:14:41 install libaudit1:armhf <none> 1:2.8.4-3
2019-07-21 15:14:41 status half-installed libaudit1:armhf 1:2.8.4-3
2019-07-21 15:14:41 status unpacked libaudit1:armhf 1:2.8.4-3
2019-07-21 15:14:42 upgrade base-files:armhf 10.3 10.3
2019-07-21 15:14:42 status half-configured base-files:armhf 10.3
2019-07-21 15:14:42 status unpacked base-files:armhf 10.3
2019-07-21 15:14:42 status half-installed base-files:armhf 10.3
2019-07-21 15:14:42 status unpacked base-files:armhf 10.3
2019-07-21 15:14:42 upgrade base-passwd:armhf 3.5.46 3.5.46
2019-07-21 15:14:42 status half-configured base-passwd:armhf 3.5.46
2019-07-21 15:14:42 status unpacked base-passwd:armhf 3.5.46
2019-07-21 15:14:42 status half-installed base-passwd:armhf 3.5.46
2019-07-21 15:14:42 status unpacked base-passwd:armhf 3.5.46
2019-07-21 15:14:42 install bash:armhf <none> 5.0-4
2019-07-21 15:14:42 status half-installed bash:armhf 5.0-4
2019-07-21 15:14:43 status unpacked bash:armhf 5.0-4
2019-07-21 15:14:43 install libbz2-1.0:armhf <none> 1.0.6-9.1
2019-07-21 15:14:43 status half-installed libbz2-1.0:armhf 1.0.6-9.1
2019-07-21 15:14:43 status unpacked libbz2-1.0:armhf 1.0.6-9.1
2019-07-21 15:14:43 install libdebconfclient0:armhf <none> 0.249
2019-07-21 15:14:43 status half-installed libdebconfclient0:armhf 0.249
2019-07-21 15:14:43 status unpacked libdebconfclient0:armhf 0.249
2019-07-21 15:14:43 install coreutils:armhf <none> 8.30-3
2019-07-21 15:14:43 status half-installed coreutils:armhf 8.30-3
2019-07-21 15:14:44 status unpacked coreutils:armhf 8.30-3
2019-07-21 15:14:44 install dash:armhf <none> 0.5.10.2-5
2019-07-21 15:14:44 status half-installed dash:armhf 0.5.10.2-5
2019-07-21 15:14:44 status unpacked dash:armhf 0.5.10.2-5
2019-07-21 15:14:44 install libdb5.3:armhf <none> 5.3.28+dfsg1-0.5
2019-07-21 15:14:44 status half-installed libdb5.3:armhf 5.3.28+dfsg1-0.5
2019-07-21 15:14:45 status unpacked libdb5.3:armhf 5.3.28+dfsg1-0.5
2019-07-21 15:14:45 upgrade debconf:all 1.5.71 1.5.71
2019-07-21 15:14:45 status half-configured debconf:all 1.5.71
2019-07-21 15:14:45 status unpacked debconf:all 1.5.71
2019-07-21 15:14:45 status half-installed debconf:all 1.5.71
2019-07-21 15:14:45 status unpacked debconf:all 1.5.71
2019-07-21 15:14:46 install debian-archive-keyring:all <none> 2019.1
2019-07-21 15:14:46 status half-installed debian-archive-keyring:all 2019.1
2019-07-21 15:14:46 status unpacked debian-archive-keyring:all 2019.1
2019-07-21 15:14:46 install debianutils:armhf <none> 4.8.6.1
2019-07-21 15:14:46 status half-installed debianutils:armhf 4.8.6.1
2019-07-21 15:14:46 status unpacked debianutils:armhf 4.8.6.1
2019-07-21 15:14:47 install diffutils:armhf <none> 1:3.7-3
2019-07-21 15:14:47 status half-installed diffutils:armhf 1:3.7-3
2019-07-21 15:14:47 status unpacked diffutils:armhf 1:3.7-3
2019-07-21 15:14:47 upgrade dpkg:armhf 1.19.7 1.19.7
2019-07-21 15:14:47 status half-configured dpkg:armhf 1.19.7
2019-07-21 15:14:47 status unpacked dpkg:armhf 1.19.7
2019-07-21 15:14:47 status half-installed dpkg:armhf 1.19.7
